,Open,High,Low,Close,Volume
2013.09.16 13:00:00,0.84507,0.84592,0.84467,0.84572,1100
2013.09.16 14:00:00,0.84577,0.84683,0.84538,0.84619,1101
2013.09.16 15:00:00,0.84616,0.84643,0.84467,0.84478,1102
2013.09.16 16:00:00,0.84478,0.84511,0.84352,0.84363,1103
2013.09.16 17:00:00,0.84367,0.84475,0.84356,0.84415,1104
2013.09.16 18:00:00,0.84424,0.84424,0.84333,0.84372,1105
2013.09.16 19:00:00,0.84369,0.84371,0.84308,0.84338,1106
2013.09.16 20:00:00,0.84321,0.84378,0.84182,0.84189,1107
2013.09.16 21:00:00,0.84198,0.84341,0.84175,0.84312,1108
2013.09.16 22:00:00,0.84315,0.84414,0.84267,0.84331,1109
2013.09.16 23:00:00,0.84328,0.8438,0.84268,0.84339,1110
2013.09.17 00:00:00,0.84361,0.844,0.84334,0.84371,1111
2013.09.17 01:00:00,0.84372,0.84418,0.84341,0.84411,1112
2013.09.17 02:00:00,0.8441,0.84428,0.84338,0.84401,1113
2013.09.17 03:00:00,0.84404,0.84552,0.84333,0.844,1114
2013.09.17 04:00:00,0.84392,0.84457,0.8433,0.84391,1115
2013.09.17 05:00:00,0.84388,0.84421,0.84343,0.84365,1116
2013.09.17 06:00:00,0.8436,0.84385,0.84282,0.84349,1117
2013.09.17 07:00:00,0.84349,0.84418,0.84348,0.84356,1118
2013.09.17 08:00:00,0.84356,0.84453,0.84356,0.84442,1119
2013.09.17 09:00:00,0.84438,0.84466,0.84356,0.84463,1120
2013.09.17 10:00:00,0.8446,0.84552,0.84415,0.84552,1121
2013.09.17 11:00:00,0.84564,0.84582,0.84488,0.84525,1122
2013.09.17 12:00:00,0.84525,0.84602,0.84492,0.84592,1123
2013.09.17 13:00:00,0.84585,0.84713,0.84585,0.84713,1124
2013.09.17 14:00:00,0.84717,0.84773,0.84615,0.84738,1125
2013.09.17 15:00:00,0.84743,0.84953,0.84743,0.84829,1126
2013.09.17 16:00:00,0.84837,0.84861,0.84636,0.84766,1127
2013.09.17 17:00:00,0.84764,0.84856,0.84743,0.84851,1128
2013.09.17 18:00:00,0.84851,0.84879,0.84798,0.84853,1129
2013.09.17 19:00:00,0.84853,0.84898,0.84811,0.84864,1130
2013.09.17 20:00:00,0.84864,0.84886,0.84813,0.8482,1131
2013.09.17 21:00:00,0.8482,0.84867,0.84787,0.84805,1132
